,name,market_pairs,circulating,max supply,MC,MC_dominance,sixty_days_change,SC
328,MVL,7,13304.670275848293,0,181.7159889684805,0.008,-21.24134532,False
329,TomoChain,42,87.0330125,0,181.57026832954435,0.008,-5.58827869,False
330,Molecular Future,3,87.224,0,180.4016739960245,0.0079,12.29097045,False
331,SOMESING,8,2533.621748,1,180.1449622353297,0.0,-7.94595005,False
332,Ergo,17,32.012428,1,179.19178453642357,0.0079,-43.21415087,False
333,TitanSwap,8,53.40416,0,178.67560385904952,0.0,-28.54998789,False
334,Ark,21,133.6637134841808,0,177.2007956641483,0.0078,-35.80167774,False
335,Dawn Protocol,8,70.52281265731477,1,173.57373749916042,0.0,-36.90161382,False
336,Aavegotchi,39,70.78264103899343,0,173.7316417200846,0.0076,47.11902005,False
337,Bloomzed Loyalty Club Ticket,5,38.0,1,172.4935058752923,0.0,-9.05232232,False
338,BSCPAD,6,79.211621,1,172.06797788379936,0.0,90.28803796,False
339,Venus ETH,1,2.033994,0,171.0623534089983,0.0,20.21588488,False
340,Sport and Leisure,6,678.662952834708,0,170.6214933254062,0.0,42.44336982,False
341,Verasity,32,4470.185345808827,1,170.31567539338968,0.0075,-38.94933146,False
